birdnet_scientific_name,avilist_scientific_name,avibase_id,cornell_code,match_method
Amazona auropalliata,Amazona auropalliata,avibase-74D1AE14,yenpar1,exact
Amazona autumnalis,Amazona autumnalis,avibase-56EC9CA9,relpar10,exact
Amazona brasiliensis,Amazona brasiliensis,avibase-5A7AF4AE,retpar1,exact
Amazona dufresniana,Amazona dufresniana,avibase-7B534E0C,blcpar2,exact
Amazona farinosa,Amazona farinosa,avibase-A05EF311,meapar,exact
Amazona festiva,Amazona festiva,avibase-428D51E8,fespar1,exact
Amazona finschi,Amazona finschi,avibase-66C32CC9,licpar,exact
Amazona kawalli,Amazona kawalli,avibase-7F4458FE,kawpar1,exact
Amazona leucocephala,Amazona leucocephala,avibase-8B2843E8,cubpar1,exact
Amazona mercenarius,Amazona mercenarius,avibase-CED01CA4,scnpar1,exact
Amazona ochrocephala,Amazona ochrocephala,avibase-45BCA1AA,ywcpar,exact
Amazona oratrix,Amazona oratrix,avibase-F9D03943,yehpar,exact
Amazona rhodocorytha,Amazona rhodocorytha,avibase-8FC55431,rebpar7,exact
Amazona tucumana,Amazona tucumana,avibase-D50220E9,tucpar1,exact
Amazona ventralis,Amazona ventralis,avibase-766B3C30,hispar1,exact
Amazona vinacea,Amazona vinacea,avibase-0FF89B76,vinpar1,exact
Amazona viridigenalis,Amazona viridigenalis,avibase-B1595124,recpar,exact
Amazona xantholora,Amazona xantholora,avibase-E0993B27,yelpar1,exact
Amazonetta brasiliensis,Amazonetta brasiliensis,avibase-DDFC6B2B,bratea1,exact
Amblycercus holosericeus,Amblycercus holosericeus,avibase-8DAADD7F,yebcac1,exact
Amblyornis newtoniana,Prionodura newtoniana,avibase-98C0C634,golbow1,clements_english
Amblyospiza albifrons,Amblyospiza albifrons,avibase-C7708C70,growea1,exact
Amblyramphus holosericeus,Amblyramphus holosericeus,avibase-50F297CC,schbla1,exact
Ammodramus aurifrons,Ammodramus aurifrons,avibase-02E3ACBD,yebspa1,exact
Ammodramus humeralis,Ammodramus humeralis,avibase-7C74D0E3,graspa1,exact
Ammodramus savannarum,Ammodramus savannarum,avibase-5BFFE091,graspa,exact
Ammomanes cinctura,Ammomanes cinctura,avibase-20A0844D,batlar1,exact
Ammomanes deserti,Ammomanes deserti,avibase-A977348D,deslar1,exact
Ammomanes phoenicura,Ammomanes phoenicura,avibase-0E1F8A50,rutlar2,exact
Ammonastes pelzelni,Ammonastes pelzelni,avibase-6688FCFD,gybant1,exact
Ammospiza caudacuta,Ammospiza caudacuta,avibase-79C9C8C4,sstspa,exact
Ammospiza leconteii,Ammospiza leconteii,avibase-B656B15D,lecspa,exact
Ammospiza maritima,Ammospiza maritima,avibase-0F81304F,seaspa,exact
Ammospiza nelsoni,Ammospiza nelsoni,avibase-727D994F,nstspa,exact
Ampelioides tschudii,Ampelioides tschudii,avibase-4D9E317C,scafru1,exact
Ampelion rubrocristatus,Ampelion rubrocristatus,avibase-C5B2624D,reccot1,exact
Ampelion rufaxilla,Ampelion rufaxilla,avibase-2ED22C83,chccot1,exact
Ampelornis griseiceps,Ampelornis griseiceps,avibase-F705E3F2,gyhant1,exact
Amphispiza bilineata,Amphispiza bilineata,avibase-A0F29F1E,bktspa,exact
Amphispizopsis quinquestriata,Amphispizopsis quinquestriata,avibase-8C954D4E,fisspa,exact
Anabacerthia amaurotis,Anabacerthia amaurotis,avibase-F31BDBD7,whbfog1,exact
Anabacerthia lichtensteini,Anabacerthia lichtensteini,avibase-5A7FA9E2,obfgle2,exact
Anabacerthia ruficaudata,Anabacerthia ruficaudata,avibase-861926AE,rutfog1,exact
Anabacerthia striaticollis,Anabacerthia striaticollis,avibase-A499C7BE,mofgle1,exact
Anabacerthia variegaticeps,Anabacerthia variegaticeps,avibase-C9861D7F,stfgle1,exact
Anabazenops dorsalis,Anabazenops dorsalis,avibase-B76C2D94,ducfog1,exact
Anabazenops fuscus,Anabazenops fuscus,avibase-902B9EEB,wcfgle1,exact
Anairetes alpinus,Anairetes alpinus,avibase-6B005E46,abttyr1,exact
Anairetes flavirostris,Anairetes flavirostris,avibase-7C1ABA06,ybttyr1,exact
Anairetes nigrocristatus,Anairetes nigrocristatus,avibase-3F9E2867,bkctit1,exact
Anairetes parulus,Anairetes parulus,avibase-2B0C9AD5,tuttyr1,exact
Anairetes reguloides,Anairetes reguloides,avibase-887106AC,pcttyr1,exact
Anas acuta,Anas acuta,avibase-56CCA717,norpin,exact
Anas andium,Anas andium,avibase-0642F0F9,spetea3,exact
Anas castanea,Anas castanea,avibase-DBF66606,chetea1,exact
Anas crecca,Anas crecca,avibase-BC6C3CCE,gnwtea,exact
Anas diazi,Anas diazi,avibase-42CF45FE,mexduc,exact
Anas flavirostris,Anas flavirostris,avibase-D4263C69,yebtea1,exact
Anas fulvigula,Anas fulvigula,avibase-697B933E,motduc,exact
Anas georgica,Anas georgica,avibase-B940CCD5,yebpin1,exact
Anas gracilis,Anas gracilis,avibase-9CBAFD8F,gretea1,exact
Anas platyrhynchos,Anas platyrhynchos,avibase-85625D75,mallar3,exact
Anas poecilorhyncha,Anas poecilorhyncha,avibase-759C5EB8,isbduc1,exact
Anas rubripes,Anas rubripes,avibase-C732CB10,ambduc,exact
Anas superciliosa,Anas superciliosa,avibase-07479AD9,pabduc1,exact
Anas undulata,Anas undulata,avibase-7F64AD87,yebduc1,exact
Anas wyvilliana,Anas wyvilliana,avibase-250EA983,hawduc,exact
Anas zonorhyncha,Anas zonorhyncha,avibase-E21470F9,spbduc,exact
Anastomus oscitans,Anastomus oscitans,avibase-0DF27D63,asiope1,exact
Ancistrops strigilatus,Ancistrops strigilatus,avibase-21CFD0C9,chwhoo1,exact
Andigena hypoglauca,Andigena hypoglauca,avibase-B02554D8,gybmot1,exact
Andigena laminirostris,Andigena laminirostris,avibase-2EF3405B,pbmtou1,exact
Andigena nigrirostris,Andigena nigrirostris,avibase-64516AE0,bbmtou1,exact
Androdon aequatorialis,Androdon aequatorialis,avibase-E82816C6,tobhum1,exact
Andropadus importunus,Andropadus importunus,avibase-79A45DAF,somgre1,exact
Anhima cornuta,Anhima cornuta,avibase-71BA40DC,horscr1,exact
Anhinga anhinga,Anhinga anhinga,avibase-FBDAE86A,anhing,exact
Anhinga melanogaster,Anhinga melanogaster,avibase-CA0C901A,darter2,exact
Anhinga novaehollandiae,Anhinga novaehollandiae,avibase-C57D9973,darter4,exact
Anisognathus igniventris,Anisognathus igniventris,avibase-9FCCD579,sbmtan1,exact
Anisognathus lacrymosus,Anisognathus lacrymosus,avibase-11BC1FFE,lamtan1,exact
Anisognathus somptuosus,Anisognathus somptuosus,avibase-1F7275CB,bwmtan1,exact
Anodorhynchus hyacinthinus,Anodorhynchus hyacinthinus,avibase-3B7073D1,hyamac1,exact
Anodorhynchus leari,Anodorhynchus leari,avibase-FF910F60,indmac1,exact
Anorrhinus galeritus,Anorrhinus galeritus,avibase-1FD5EBCD,buchor1,exact
Anous ceruleus,Anous ceruleus,avibase-D021AB6A,bugnod,exact
Anous minutus,Anous minutus,avibase-C67DCF31,blknod,exact
Anous stolidus,Anous stolidus,avibase-A070171E,brnnod,exact
Anous tenuirostris,Anous tenuirostris,avibase-03F9EB15,lesnod1,exact
Anser albifrons,Anser albifrons,avibase-466E9077,gwfgoo,exact
Anser anser,Anser anser,avibase-4AED44E8,gragoo,exact
Anser brachyrhynchus,Anser brachyrhynchus,avibase-AFA7EE74,pifgoo,exact
Anser caerulescens,Anser caerulescens,avibase-D3A260BC,snogoo,exact
Anser canagicus,Anser canagicus,avibase-1E6F0F8D,empgoo,exact
Anser cygnoides,Anser cygnoides,avibase-946E4517,swagoo1,exact
Anser erythropus,Anser erythropus,avibase-184D2329,lwfgoo,exact
Anser fabalis,Anser fabalis,avibase-BDB497A3,taibeg1,exact
Anser indicus,Anser indicus,avibase-B7159EF0,bahgoo,exact
Anser rossii,Anser rossii,avibase-7A24F57F,rosgoo,exact
Anser serrirostris,Anser serrirostris,avibase-AD849FCB,tunbeg1,exact
Anseranas semipalmata,Anseranas semipalmata,avibase-89D5434B,maggoo1,exact
Anthipes monileger,Anthipes monileger,avibase-03E8C346,whgfly1,exact
Anthipes solitaris,Anthipes solitaris,avibase-EBEB71F0,rubfly3,exact
Anthobaphes violacea,Anthobaphes violacea,avibase-02B06535,orbsun2,exact
Anthochaera carunculata,Anthochaera carunculata,avibase-F8C0016A,redwat1,exact
Anthochaera chrysoptera,Anthochaera chrysoptera,avibase-04A7ABB7,bruwat1,exact
Anthochaera lunulata,Anthochaera lunulata,avibase-629C5612,litwat1,exact
Anthochaera paradoxa,Anthochaera paradoxa,avibase-3A72B910,yelwat1,exact
Anthochaera phrygia,Anthochaera phrygia,avibase-1C525B4A,reghon1,exact
Anthornis melanura,Anthornis melanura,avibase-73A0AA07,nezbel1,exact
Anthoscopus minutus,Anthoscopus minutus,avibase-E6239363,soptit1,exact
Anthoscopus musculus,Anthoscopus musculus,avibase-6F967270,mcptit1,exact
Anthracoceros albirostris,Anthracoceros albirostris,avibase-082CFEA6,orphor1,exact
Anthracoceros coronatus,Anthracoceros coronatus,avibase-079BC769,maphor1,exact
Anthracoceros malayanus,Anthracoceros malayanus,avibase-6DC62BCF,blahor1,exact
Anthracothorax nigricollis,Anthracothorax nigricollis,avibase-BC459FEC,bltman1,exact
Anthreptes malacensis,Anthreptes malacensis,avibase-7F96C52A,pltsun2,exact
Anthreptes orientalis,Anthreptes orientalis,avibase-2D0C83B2,kvbsun1,exact
Anthropoides paradiseus,Grus paradisea,avibase-361AC269,blucra2,clements_english
Anthropoides virgo,Grus virgo,avibase-64DDD14D,demcra1,clements_english
Anthus berthelotii,Anthus berthelotii,avibase-B17CFF22,berpip1,exact
Anthus bogotensis,Anthus bogotensis,avibase-5FC6B003,parpip1,exact
Anthus campestris,Anthus campestris,avibase-250CDA58,tawpip1,exact
Anthus cervinus,Anthus cervinus,avibase-319D044A,retpip,exact
Anthus chacoensis,Anthus chacoensis,avibase-4E83271D,chapip1,exact
Anthus cinnamomeus,Anthus cinnamomeus,avibase-0D7CC717,afrpip1,exact
Anthus correndera,Anthus correndera,avibase-0E627EF1,corpip1,exact
Anthus crenatus,Anthus crenatus,avibase-56CB3F84,yetpip1,exact
Anthus furcatus,Anthus furcatus,avibase-5F1CEF93,shbpip1,exact
Anthus godlewskii,Anthus godlewskii,avibase-9F65782F,blypip1,exact
Anthus gustavi,Anthus gustavi,avibase-9DC4CC54,pecpip,exact
Anthus hellmayri,Anthus hellmayri,avibase-D46D5344,helpip1,exact
Anthus hodgsoni,Anthus hodgsoni,avibase-25F7AF65,olbpip,exact
Anthus leucophrys,Anthus leucophrys,avibase-ECC3F122,plbpip1,exact
Anthus lineiventris,Anthus lineiventris,avibase-C69E0E28,strpip1,exact
Anthus lutescens,Anthus chii,avibase-5CAA1EA8,yelpip2,clements_english
Anthus nattereri,Anthus nattereri,avibase-28F81C1C,ocbpip1,exact
Anthus novaeseelandiae,Anthus novaeseelandiae,avibase-74C96ABE,auspip3,exact
Anthus peruvianus,Anthus peruvianus,avibase-3FAE5E4B,yelpip3,exact
Anthus petrosus,Anthus petrosus,avibase-E1CBB1C2,rocpip1,exact
Anthus pratensis,Anthus pratensis,avibase-14873249,meapip1,exact
Anthus richardi,Anthus richardi,avibase-41ECD10E,ricpip1,exact
Anthus roseatus,Anthus roseatus,avibase-6137BE25,rospip1,exact
Anthus rubescens,Anthus rubescens,avibase-CDA2E56B,amepip,exact
Anthus rufulus,Anthus rufulus,avibase-57A0C80B,oripip1,exact
Anthus similis,Anthus similis,avibase-ECFF22D2,lobpip1,exact
Anthus spinoletta,Anthus spinoletta,avibase-0A3FA185,watpip1,exact
