scientific_name,name
Amazona vittata,アカビタイボウシインコ
Amazona xantholora,キバナボウシインコ
Amazonetta brasiliensis,アカアシコガモ
Amblycercus holosericeus,クロツリスドリ
Amblyornis flavifrons,キエボシニワシドリ
Amblyornis inornata,チャイロニワシドリ
Amblyornis macgregoriae,カンムリニワシドリ
Amblyornis subalaris,アカエボシニワシドリ
Amblyospiza albifrons,ハシブトハタオリ
Amblyramphus holosericeus,ヒズキンムクドリモドキ
Amirafra angolensis,ウロコヤブヒバリ
Amirafra collaris,クロエリヤブヒバリ
Amirafra rufocinnamomea,ニッケイヤブヒバリ
Ammodramus aurifrons,キマユヒメドリ
Ammodramus humeralis,キガタヒメドリ
Ammodramus savannarum,イナゴヒメドリ
Ammomanes cinctura,クロオビスナヒバリ
Ammomanes deserti,スナヒバリ
Ammomanes phoenicura,インドスナヒバリ
Ammomanopsis grayi,ムジスナヒバリ
Ammonastes pelzelni,ハイバラアリドリ
Ammoperdix griseogularis,ヒメイワシャコ
Ammoperdix heyi,スナシャコ
Ammospiza caudacuta,トゲオヒメドリ
Ammospiza leconteii,シロスジヒメドリ
Ammospiza maritima,ハマヒメドリ
Ammospiza nelsoni,ネルソントゲオヒメドリ
Ampeliceps coronatus,キガシラムクドリ
Ampelioides tschudii,ウロコカザリドリ
Ampelion rubrocristatus,アカカンムリカザリドリ
Ampelion rufaxilla,カンムリカザリドリ
Ampelornis griseiceps,ハイガシラアリドリ
Amphispiza bilineata,ノドグロヒメドリ
Amphispizopsis quinquestriata,ムナフスズメモドキ
Amytornis ballarae,カルカドンセスジムシクイ
Amytornis barbatus,マミジロセスジムシクイ
Amytornis dorotheae,ムナジロセスジムシクイ
Amytornis goyderi,シロハラセスジムシクイ
Amytornis housei,クロセスジムシクイ
Amytornis merrotsyi,ヒメノドジロセスジムシクイ
Amytornis modestus,ハシブトセスジムシクイ
Amytornis purnelli,ハシボソセスジムシクイ
Amytornis rowleyi,サビイロセスジムシクイ
Amytornis striatus,ノドジロセスジムシクイ
Amytornis textilis,ニシセスジムシクイ
Amytornis woodwardi,ノドジロクロセスジムシクイ
Anabacerthia amaurotis,マユブトカマドドリ
Anabacerthia lichtensteini,スナイロマユカマドドリ
Anabacerthia ruficaudata,アカオマユカマドドリ
Anabacerthia striaticollis,ミヤママユカマドドリ
Anabacerthia variegaticeps,ウロコノドカマドドリ
Anabathmis hartlaubii,プリンシペタイヨウチョウ
Anabathmis newtonii,サントメタイヨウチョウ
Anabathmis reichenbachii,ルリムネタイヨウチョウ
Anabazenops dorsalis,セアカハシブトカマドドリ
Anabazenops fuscus,シロエリマユカマドドリ
Anairetes alpinus,タカネカラタイランチョウ
Anairetes fernandezianus,フェルナンデスカラタイランチョウ
Anairetes flavirostris,キバシカラタイランチョウ
Anairetes nigrocristatus,クロカンムリカラタイランチョウ
Anairetes parulus,エボシカラタイランチョウ
Anairetes reguloides,カンムリカラタイランチョウ
Anaplectes rubriceps,アカガシラモリハタオリ
Anarhynchus alexandrinus,シロチドリ
Anarhynchus alticola,プナフタオビチドリ
Anarhynchus asiaticus,ニシオオチドリ
Anarhynchus bicinctus,チャオビチドリ
Anarhynchus collaris,クロオビチドリ
Anarhynchus dealbatus,カオジロシロチドリ
Anarhynchus falklandicus,コフタオビチドリ
Anarhynchus frontalis,ハシマガリチドリ
Anarhynchus javanicus,ジャワクロエリシロチドリ
